Designator,Mid X,Mid Y,Rotation,Layer
BT1,92.41,-57.28,180.0,top
C1,120.525,-53.58,90.0,top
C2,120.1925,-65.88,0.0,top
C3,117.5,-65.88,180.0,top
C4,118.425,-54.33,180.0,top
C5,110.725,-60.48,180.0,top
C6,71.275,-52.4175,180.0,top
C7,121.525,-48.855,270.0,top
C8,114.525,-49.68,90.0,top
D1,112.9,-54.4,270.0,top
J1,109.465,-66.58,270.0,top
J2,128.52,-57.58,0.0,top
J3,71.275,-58.58,270.0,top
J4,128.025,-49.58,90.0,top
J5,99.575,-42.35,90.0,top
Q1,111.225,-48.42,270.0,top
Q2,107.525,-48.445,270.0,top
R1,108.3375,-51.28,180.0,top
R2,112.025,-51.28,180.0,top
R3,110.625,-54.58,270.0,top
R4,78.4,-48.1,0.0,top
R5,78.4,-50.0,0.0,top
R6,69.025,-49.755,90.0,top
R7,74.9,-49.1,270.0,top
U1,118.525,-60.08,0.0,top
U2,92.360955,-56.68006,90.0,bottom
U3,71.775,-49.755,90.0,top
U4,118.025,-49.58,0.0,top
